record_id,headword_raw,headword_candidate,normalized,language,entry_type,part_of_speech,part_of_speech_raw,gender_or_article_raw,source_marker,source_marker_interpretation,historical_gloss_raw,source_id,source_year,source_url,source_line_start,source_page_approx,ocr_confidence,review_priority,duplicate_headword_pos_count,existing_master,verification_status,human_review_required,notes
kha-n1906-000001,Ab,ab,ab,kha,word,interjection,int,,,,the imitation of the cry of a crow.,nissor-1906-kha-en,1906,https://archive.org/download/khasienglishdict00singrich/khasienglishdict00singrich_djvu.txt,475,5,0.975,1,1,no,pending,yes,Automatically extracted from the complete 1906 public-domain OCR. Historical spelling/meaning/POS must be checked against the scan and modern Khasi usage.
kha-n1906-000002,Abir,abir,abir,kha,word,noun,n,XI,*,source-marked-loan-or-foreign,red i^owder used in the Holi festival.,nissor-1906-kha-en,1906,https://archive.org/download/khasienglishdict00singrich/khasienglishdict00singrich_djvu.txt,477,6,0.975,1,1,no,pending,yes,Automatically extracted from the complete 1906 public-domain OCR. Historical spelling/meaning/POS must be checked against the scan and modern Khasi usage.
kha-n1906-000003,Ak,ak,ak,kha,word,interjection,int,,,,ah ! ejaculation of disgust at an unpleasant smell.,nissor-1906-kha-en,1906,https://archive.org/download/khasienglishdict00singrich/khasienglishdict00singrich_djvu.txt,479,6,0.975,1,1,no,pending,yes,Automatically extracted from the complete 1906 public-domain OCR. Historical spelling/meaning/POS must be checked against the scan and modern Khasi usage.
kha-n1906-000004,Aku,aku,aku,kha,word,interjection,int,,,,expressing disgust at a bad smell.,nissor-1906-kha-en,1906,https://archive.org/download/khasienglishdict00singrich/khasienglishdict00singrich_djvu.txt,481,6,0.975,1,1,no,pending,yes,Automatically extracted from the complete 1906 public-domain OCR. Historical spelling/meaning/POS must be checked against the scan and modern Khasi usage.
kha-n1906-000005,Akher-ka-sngi,akher-ka-sngi,akher-ka-sngi,kha,compound,noun,n,ka,,,"Domesday. ' A-khia, ?/, n. {colloquial) an earnest man. *Ak6r, ka, n. behaviour, conduct. . _,. j' > int. Oho ! dear me ! (expressing acute bodily pain).",nissor-1906-kha-en,1906,https://archive.org/download/khasienglishdict00singrich/khasienglishdict00singrich_djvu.txt,483,6,0.975,1,1,no,pending,yes,Automatically extracted from the complete 1906 public-domain OCR. Historical spelling/meaning/POS must be checked against the scan and modern Khasi usage.
kha-n1906-000006,Adda,adda,adda,kha,word,noun,n,ka,*,source-marked-loan-or-foreign,"a stage for changing horses, dak- runners' etc.",nissor-1906-kha-en,1906,https://archive.org/download/khasienglishdict00singrich/khasienglishdict00singrich_djvu.txt,491,6,0.975,1,1,no,pending,yes,Automatically extracted from the complete 1906 public-domain OCR. Historical spelling/meaning/POS must be checked against the scan and modern Khasi usage.
kha-n1906-000007,Ade,ade,ade,kha,word,adverb,ad,,,,"may be, perhaps (same as ide) ; [as, "" ade dum ka bneng kumne ba'n slap, mo.""j; — int. to express surprise or approba- tion.",nissor-1906-kha-en,1906,https://archive.org/download/khasienglishdict00singrich/khasienglishdict00singrich_djvu.txt,494,6,0.975,1,1,no,pending,yes,Automatically extracted from the complete 1906 public-domain OCR. Historical spelling/meaning/POS must be checked against the scan and modern Khasi usage.
kha-n1906-000008,Ado,ado,ado,kha,word,interjection,int,,,,"Oho ! yAdong, ka, n. prohibition; — v. to prohibit. {Imit. adong-adit.] ^Adili'-lanot ! } '''^' '^^^ ^'^ ^^ • °^'^^^«""^ ""^^ '' Adykar ! "") adv. thoughtfully, economically, moderately ; [as, "" bam Adkar ! j"" adkar, dih adkat-y^ Ang, 7). to open, to crack. Ang-aug, c^fZy. in the open sun; [as ""wat leit shah ha ka sngi ang-aiig.^^^ Ang-um, V. {lit. to open the mouth on account of thirst) ; to bo in a fix. JAngel, Uy n. an angel.",nissor-1906-kha-en,1906,https://archive.org/download/khasienglishdict00singrich/khasienglishdict00singrich_djvu.txt,498,6,0.975,1,1,no,pending,yes,Automatically extracted from the complete 1906 public-domain OCR. Historical spelling/meaning/POS must be checked against the scan and modern Khasi usage.
kha-n1906-000009,Angret,angret,angret,kha,word,noun,n,u,,,"a dare-devil (from Hindustani Angrez). Ah, V. {colloquial) to cut ; — int. ah !",nissor-1906-kha-en,1906,https://archive.org/download/khasienglishdict00singrich/khasienglishdict00singrich_djvu.txt,517,6,0.975,1,1,no,pending,yes,Automatically extracted from the complete 1906 public-domain OCR. Historical spelling/meaning/POS must be checked against the scan and modern Khasi usage.
kha-n1906-000010,Ahor,ahor,ahor,kha,word,noun,n,ka,,,"a marshy place, a swamp. Ai, V. to give, to bestow. I * Hiudi. I + Englisli. AIA AI-NONG *Aia, hat n. Ayah.",nissor-1906-kha-en,1906,https://archive.org/download/khasienglishdict00singrich/khasienglishdict00singrich_djvu.txt,521,6,0.975,1,1,no,pending,yes,Automatically extracted from the complete 1906 public-domain OCR. Historical spelling/meaning/POS must be checked against the scan and modern Khasi usage.
kha-n1906-000011,Ai-bai-siew,ai-bai-siew,ai-bai-siew,kha,compound,verb,v,,,,"to give money for buying things at a time, as, on a hat-dsLj. [ImiL aibai-siew aibai-tda.]",nissor-1906-kha-en,1906,https://archive.org/download/khasienglishdict00singrich/khasienglishdict00singrich_djvu.txt,536,6,0.975,1,1,no,pending,yes,Automatically extracted from the complete 1906 public-domain OCR. Historical spelling/meaning/POS must be checked against the scan and modern Khasi usage.
