record_id,ocr_headword,resolved_historical_headword,historical_article,historical_pos,resolution_type,source_page_approx,proofread_source,reviewer,review_date,notes
kha-n1906-002291,'fiiangblen,ʼñiangblen,ka,noun,corrected_ocr,157,Wikisource proofread transcription + Commons 1906 scan,KurbahTech,2026-09-14,"OCR confused ñ with fii; confirmed historical headword meaning blindworm."
kha-n1906-002290,'fiiangbading,ʼñiangbading,ka,noun,corrected_ocr,157,Wikisource proofread transcription + Commons 1906 scan,KurbahTech,2026-09-14,"OCR confused ñ with fii; confirmed historical headword meaning glowworm."
kha-n1906-003766,CTyrsain,Tyrsain,,verb,corrected_ocr,265,Wikisource proofread transcription + Commons 1906 scan,KurbahTech,2026-09-14,"Spurious initial C removed; proofread source confirms Tyrsain."
kha-n1906-003821,Vai-solilaper,'wái-sohlapér,u,noun,corrected_ocr,269,Wikisource proofread transcription + Commons 1906 scan,KurbahTech,2026-09-14,"OCR damaged initial apostrophe/w and internal letters; proofread source confirms the palm-fruit headword."
kha-n1906-003820,VWain,Waiñ,ka,noun,corrected_ocr,269,Wikisource proofread transcription + Commons 1906 scan,KurbahTech,2026-09-14,"Spurious initial V removed and final ñ restored; source also records adverbial senses."
kha-n1906-000512,Xhie-khynraw,Khie-khynrâw,,verb,corrected_ocr,37,Wikisource proofread transcription + Commons 1906 scan,KurbahTech,2026-09-14,"Initial Kh misread as Xh; historical vowel mark restored."
kha-n1906-000679,Xhyllew,Khyllew,,adverb,corrected_ocr,46,Wikisource proofread transcription + Commons 1906 scan,KurbahTech,2026-09-14,"Initial Kh misread as Xh."
kha-n1906-003780,XJm-biah,Um-biah,ka,noun,corrected_ocr,266,Wikisource proofread transcription + Commons 1906 scan,KurbahTech,2026-09-14,"OCR prefix XJm corrected to Um; proofread source gives saliva/spittle."
kha-n1906-003785,XJm-jung,Um-jung,ka,noun,corrected_ocr,266,Wikisource proofread transcription + Commons 1906 scan,KurbahTech,2026-09-14,"OCR prefix XJm corrected to Um; proofread source gives urine."
kha-n1906-001058,Xynthih,Kynthih,,verb,corrected_ocr,67,Wikisource proofread transcription + Commons 1906 scan,KurbahTech,2026-09-14,"Initial K misread as X; source also records an adverbial sense."
