global_sequence,review_batch,batch_sequence,review_tier,record_id,headword_candidate,normalized,part_of_speech,entry_type,source_page_approx,ocr_confidence,existing_master,verification_status,human_review_required
1,n1906-001,1,0:existing-master-upgrade,kha-n1906-001377,nga,nga,pronoun,word,87,0.975,yes,pending,yes
2,n1906-001,2,1:simple-historical-word,kha-n1906-000001,ab,ab,interjection,word,5,0.975,no,pending,yes
3,n1906-001,3,1:simple-historical-word,kha-n1906-000002,abir,abir,noun,word,6,0.975,no,pending,yes
4,n1906-001,4,1:simple-historical-word,kha-n1906-000006,adda,adda,noun,word,6,0.975,no,pending,yes
5,n1906-001,5,1:simple-historical-word,kha-n1906-000007,ade,ade,adverb,word,6,0.975,no,pending,yes
6,n1906-001,6,1:simple-historical-word,kha-n1906-000008,ado,ado,interjection,word,6,0.975,no,pending,yes
7,n1906-001,7,1:simple-historical-word,kha-n1906-000010,ahor,ahor,noun,word,6,0.975,no,pending,yes
8,n1906-001,8,1:simple-historical-word,kha-n1906-000003,ak,ak,interjection,word,6,0.975,no,pending,yes
9,n1906-001,9,1:simple-historical-word,kha-n1906-000004,aku,aku,interjection,word,6,0.975,no,pending,yes
10,n1906-001,10,1:simple-historical-word,kha-n1906-000030,alhia,alhia,adjective,word,8,0.950,no,pending,yes
11,n1906-001,11,1:simple-historical-word,kha-n1906-000031,along,along,noun,word,8,0.975,no,pending,yes
12,n1906-001,12,1:simple-historical-word,kha-n1906-000034,amrang,amrang,noun,word,8,0.975,no,pending,yes
13,n1906-001,13,1:simple-historical-word,kha-n1906-000035,ana,ana,noun,word,8,0.975,no,pending,yes
14,n1906-001,14,1:simple-historical-word,kha-n1906-000009,angret,angret,noun,word,6,0.975,no,pending,yes
15,n1906-001,15,1:simple-historical-word,kha-n1906-000036,ani,ani,interjection,word,8,0.975,no,pending,yes
16,n1906-001,16,1:simple-historical-word,kha-n1906-000038,antad,antad,verb,word,8,0.975,no,pending,yes
17,n1906-001,17,1:simple-historical-word,kha-n1906-000039,antra,antra,noun,word,8,0.975,no,pending,yes
18,n1906-001,18,1:simple-historical-word,kha-n1906-000042,ar,ar,adjective,word,9,0.975,no,pending,yes
19,n1906-001,19,1:simple-historical-word,kha-n1906-000045,arbaliang,arbaliang,adjective,word,9,0.975,no,pending,yes
20,n1906-001,20,1:simple-historical-word,kha-n1906-000043,arban,arban,adjective,word,9,0.975,no,pending,yes
21,n1906-001,21,1:simple-historical-word,kha-n1906-000044,arbriew,arbriew,noun,word,9,0.975,no,pending,yes
22,n1906-001,22,1:simple-historical-word,kha-n1906-000046,arbud,arbud,adjective,word,9,0.975,no,pending,yes
23,n1906-001,23,1:simple-historical-word,kha-n1906-000050,ardeng,ardeng,noun,word,9,0.975,no,pending,yes
24,n1906-001,24,1:simple-historical-word,kha-n1906-000052,ari,ari,interjection,word,9,0.975,no,pending,yes
25,n1906-001,25,1:simple-historical-word,kha-n1906-000047,arkhap,arkhap,noun,word,9,0.975,no,pending,yes
26,n1906-001,26,1:simple-historical-word,kha-n1906-000048,arkhep,arkhep,noun,word,9,0.975,no,pending,yes
27,n1906-001,27,1:simple-historical-word,kha-n1906-000049,arklur,arklur,noun,word,9,0.975,no,pending,yes
28,n1906-001,28,1:simple-historical-word,kha-n1906-000054,arlak,arlak,noun,word,9,0.975,no,pending,yes
29,n1906-001,29,1:simple-historical-word,kha-n1906-000055,arliang,arliang,noun,word,9,0.975,no,pending,yes
30,n1906-001,30,1:simple-historical-word,kha-n1906-000051,arngat,arngat,adjective,word,9,0.975,no,pending,yes
31,n1906-001,31,1:simple-historical-word,kha-n1906-000057,arpateng,arpateng,noun,word,9,0.975,no,pending,yes
32,n1906-001,32,1:simple-historical-word,kha-n1906-000058,arphew,arphew,adjective,word,9,0.975,no,pending,yes
33,n1906-001,33,1:simple-historical-word,kha-n1906-000059,arpiah,arpiah,noun,word,9,0.975,no,pending,yes
34,n1906-001,34,1:simple-historical-word,kha-n1906-000060,arsap,arsap,adjective,word,9,0.975,no,pending,yes
35,n1906-001,35,1:simple-historical-word,kha-n1906-000062,arsh'ing,arsh'ing,noun,word,9,0.975,no,pending,yes
36,n1906-001,36,1:simple-historical-word,kha-n1906-000061,arshah,arshah,adverb,word,9,0.975,no,pending,yes
37,n1906-001,37,1:simple-historical-word,kha-n1906-000063,arsut,arsut,adverb,word,9,0.975,no,pending,yes
38,n1906-001,38,1:simple-historical-word,kha-n1906-000064,artatien,artatien,adjective,word,10,0.975,no,pending,yes
39,n1906-001,39,1:simple-historical-word,kha-n1906-000065,arwat,arwat,adverb,word,10,0.975,no,pending,yes
