record_id,headword_candidate,normalized,part_of_speech,entry_type,historical_gloss_raw,source_page_approx,ocr_confidence,review_priority,existing_master,verification_status,human_review_required
kha-n1906-000053,'amduh,'amduh,noun,word,the wisdom tooth.,8,0.975,1,no,pending,yes
kha-n1906-000126,'ba-hab,'ba-hab,noun,compound,same as 'ba-pyntbor.,12,0.975,1,no,pending,yes
kha-n1906-000176,'ba-pynthor,'ba-pynthor,noun,compound,"lowland rice. Bar, ka^ n. outijide, surface, — phr. leit-&<ir=to answer the call of nature.",14,0.975,1,no,pending,yes
kha-n1906-000135,'bai-seng,'bai-seng,noun,compound,"capital, money for carrying on any business. 'baisngi, ka^ n. daily wages. vf^baisiew, ka, n. money given to meet immediate necessary ex- penses, as, on a /m^-day. \_Imit.",12,0.975,1,no,pending,yes
kha-n1906-000133,'bainong,'bainong,noun,word,"wates, salxry. \I\uit. 'bainong-'baini.]",12,0.975,1,no,pending,yes
kha-n1906-000136,'baisiew-'bai-td,'baisiew-'bai-td,adjective,compound,"] Bait, V. to sharpen (a stick).",12,0.975,1,no,pending,yes
kha-n1906-000137,'baiwai,'baiwai,noun,word,rent.,13,0.975,1,no,pending,yes
kha-n1906-000187,'bat,'bat,noun,word,{abhrev. of kynbat) weed ; medicinal plant.,15,0.975,1,no,pending,yes
kha-n1906-000188,'bat-iambait ii,'bat-iambait ii,noun,phrase,"the sensitive plant. 'Batabak, (shata), ka, n, a leaf -umbrella.",15,0.975,1,no,pending,yes
kha-n1906-001244,'dait,'dait,noun,word,"{ahhrev. of kdait) ekra, reed. *t",74,0.975,1,no,pending,yes
kha-n1906-003228,'dang,'dang,noun,word,"a gold or silver necklace. Shanduh, d. to take or use a walking-stick.",210,0.975,1,no,pending,yes
kha-n1906-001283,'der-phiang,'der-phiang,noun,compound,grass dressed for thatching.,76,0.975,1,no,pending,yes
kha-n1906-001289,'dewiong,'dewiong,noun,word,"coal. 'dewlangni, ka^ n. meadow.",76,0.975,1,no,pending,yes
kha-n1906-001287,'dewksang,'dewksang,noun,word,hard earth.,76,0.975,1,no,pending,yes
kha-n1906-001288,'dewkynroi,'dewkynroi,noun,word,loose earth.,76,0.975,1,no,pending,yes
kha-n1906-001290,'dewlynnong,'dewlynnong,noun,word,an island.,76,0.975,1,no,pending,yes
kha-n1906-001291,'dewmet,'dewmet,noun,word,dust ; earth or soil free from sand and stone.,76,0.975,1,no,pending,yes
kha-n1906-001292,'dewsaw,'dewsaw,noun,word,red eartb.,76,0.975,1,no,pending,yes
kha-n1906-001293,'dewshrah,'dewshrah,noun,word,fallow land ; arable land ; virgin soil.,76,0.975,1,no,pending,yes
kha-n1906-001294,'dewtrai,'dewtrai,noun,word,"solid earth, terra firnia, (the opposite of \lew- kynroi).",76,0.975,1,no,pending,yes
kha-n1906-001299,'diangti-diangjat,'diangti-diangjat,verb,compound,to receive completely.,76,0.975,1,no,pending,yes
kha-n1906-001385,'dong shimat,'dong shimat,noun,phrase,"a bamboo tube between two joints ; a person who cannot keep secrets,",81,0.975,1,no,pending,yes
kha-n1906-001386,'dongtympew,'dongtympew,noun,word,"a chunga for pan leaf. Dob, V. to kiss. [Imit, doh-dait.] — ka, n. flesh, meat. [Ifnit, ku doh-ka-kah.] 71 DOHBNIAT DON Dohbniat, ka^ n. the gums at the root of the teeth. Dohkha, ka^ n. fish. [Imit. clohkha-dohpnat.]",81,0.975,1,no,pending,yes
kha-n1906-002453,'fiiangbading,'fiiangbading,noun,word,"a glowworm,",157,0.975,1,no,pending,yes
kha-n1906-002454,'fiiangblen,'fiiangblen,noun,word,"a blindworm. 'niangbliar, ka^ n. a kind of small lizard. 5JIANGB0IT 'f^",157,0.975,1,no,pending,yes
kha-n1906-001582,'hur,'hur,noun,word,{ahhrev. of jhur) vegetable.,94,0.975,1,no,pending,yes
kha-n1906-001618,'i,'i,noun,word,"a market. [Imit. ka ievv-ka hat.] lewdah, ka. n. the Shillong Bara-^azar. lew-luri-lura, ka^ n. the market of the beasts in Kliasi folklore, lew-lyngstieh, ka^ n. the biggest hat in the Nongkhlaw State formerly held at night, the day before the Shillong Bara -Bazar. lew-",102,0.975,1,no,pending,yes
kha-n1906-001595,'iad-khar,'iad-khar,noun,compound,same as,95,0.975,1,no,pending,yes
kha-n1906-001596,'iad-pudk,'iad-pudk,adjective,compound,"lada, V. to protect, to defend. ladait, v. to bite each other, to altercate ; to fight (as dogs), to fit. ladei, 'v. to agree, to tally , to be unanimous ; to be related to ; to hit {pi), to touch, ladeikha-dei-man, v. to have a relationship by marriage, ladei-kur, v. to have relationship on the mother-side ; to be of the same clan, ladei-jing-dei, v. to have some relationship, ladei- jingmut, v. to be of the same opinion, to be unanimous, to be friendly with. * Hindi. 85",95,0.975,1,no,pending,yes
kha-n1906-001598,'iad-pudka,'iad-pudka,noun,compound,"distilled liquor ; spirit, iad-rod, ka, n. strong liquor. 'iad rong, ka^ n. liquor given by friends when cremating cere- monies are performed. iad""tang-snem, {lit. liquor consecrated for a year), ka, n. liquor supposed to have the effect of making people reckless and mad for the time being and of encouraging them to commit murder for the propitiation of "" u 1 bleu. "" 'iad-thnam, ka^ n. a very strong country spirit.",95,0.975,1,no,pending,yes
kha-n1906-001599,'iad-um,'iad-um,noun,compound,"undistilled liquor taken from a jar; beer. la-ei ""? phr. what for ? la-ei-ia-ei, phr. for anything. la-ei-re-ia-ei, phr. for something. lang, ad. up (lift), [a^ "" u la rah iang ka wait ba'n pom ia nga.""] laid, V. to walk, to go, to proceed \^Imit. iaid-ieng.] ,>»""^ laid kai, v. to take a stroll, to take a pleasure walk. [Imit. laid kai-iengkai.] laid-ka-ieng, ka, n. manner of life. laid-kaikai, v. to walk by swinging the lower part of the body. laid-kan-kan, ) , .;,-, T .. 1 1 / 1 . >■ i;. to waddle, laid-ken-ken, ) laid- kh nip khnip, v. to walk lamely as if pressed with sharp small stones on the soles. laid-kjik kjik, v. to walk as if on pins. laid-kynthew, v. to walk with a train or tail. lAid-kynthih, v. to walk with a springy step.",96,0.975,1,no,pending,yes
kha-n1906-001603,'iar-kdait,'iar-kdait,noun,compound,"a small species of fowl. *iar-khiar, ka, n. a bamboo partridge.",99,0.975,1,no,pending,yes
kha-n1906-001604,'iar-krad-lynti,'iar-krad-lynti,noun,compound,"a cock which is sacrificed previous to the cremation of the dead to act as a guide to the departed spirit, {lit. "" a cock to scratch the way "" for the departed spirit). iar-lasir, n. a kind of cock or hen with yellow feet, the former being much used in cock fighting. 88 lARLY-",99,0.975,1,no,pending,yes
kha-n1906-001606,'iar-mangkalai,'iar-mangkalai,noun,compound,"a long-legged fowl. larong, ka, n. a small net bag for putting odds and ends, esp. betel-nut, lime, tobacco, etc. \^Imit, ka iarong-ka iadep.] laroh, V. to praise, 'iar-padat, u^ n. a cock which is killed and thrown three times over the Khasi funeral pyre, when fire is set to it. 'iar-ryngkuh, u^ n. a cock. lasang, a. not sanctioned by the laws and custom of society ; tabooing, [/mit. iasang-iama.] lasaid, v. to argue, to debate. las^id-lah, v. to hold on a discussion though beaten. lasdm, V. to divide. [Imit. ias^m-iapiet.] laseng, v. to gather, to meet ; to hold religious service or meetings. lashang, v. to associate with, to go near. lashah, v. to bear with, to side with. lashah-iasham, v, to have dealing in money matters, t.e.y between a money-lender and a borrower. lashdn, V. to hold out ; to support. lashem, v. to meet ; to come across. lashep, V. to suit; (as, "" ba'n tupia",99,0.975,1,no,pending,yes
kha-n1906-002060,'iiewlep,'iiewlep,noun,word,a pitfall.,132,0.975,1,no,pending,yes
kha-n1906-001623,'ing-bah,'ing-bah,noun,compound,"a species of ginger. ling-basa, ka^ n. a temporary lodging, an inn. \_lmit. iing-basa- iing basuin.] fling-kashari, ka, n. Cutchery ; coiirt-house.",103,0.975,1,no,pending,yes
kha-n1906-001629,'ing-tyrkhong,'ing-tyrkhong,noun,compound,dried ginger ; an old grudge. [Imit.,104,0.975,1,no,pending,yes
kha-n1906-001627,'ingdoug ka 'ingna,'ingdoug ka 'ingna,pronoun,phrase,"] I-ngiew, V. to appear dreadful, to appear uncanny. ling-jain, ka, n. a tent. ling -mane, ka, n. a temple ; a chapel, a church. 'ing-makhir, u, n, a species of small ginger having a more pungent taste than u ^ ingbah. f ling-paki, ka, n. a house with stone-walls and ceiling of concrete cement. \_Imit. ling-paki-iingdulan.] liug-sad, ka, n. the house where a Siem performs family and IState sacrifices. [Imii. ling-sad-iingsunon.] ling-sawdong, ka, n. (lit.) a house having four walls ; a house not built after the old pattern of a Khasi-house, but after the",103,0.975,1,no,pending,yes
kha-n1906-003926,'ip,'ip,noun,word,"a small circular rain-proof frame used by the Khasis (called ka shaladiang by the Syntengs) . Traw, w, «. sun-grass.",259,0.975,1,no,pending,yes
kha-n1906-001626,'iug-dong,'iug-dong,noun,compound,the back. [Imit. ka,103,0.975,1,no,pending,yes
kha-n1906-001745,'jat-diih,'jat-diih,noun,compound,the little toe.,112,0.975,1,no,pending,yes
kha-n1906-000378,'kain-dait,'kain-dait,noun,compound,"a mosquito,",26,0.975,1,no,pending,yes
kha-n1906-000379,'kain-iong,'kain-iong,noun,compound,a meat-fly.,26,0.975,1,no,pending,yes
kha-n1906-000443,'kei,'kei,noun,word,"{ahhrev. of skei), a barking deer. 'kei-sop, w, 71. a roe-buck. Kein, (an intensifying particle) =that's it ; — v. imper, enough, that is all.",29,0.975,1,no,pending,yes
kha-n1906-000453,'khabysein,'khabysein,noun,word,eel (smaU.).,30,0.975,1,no,pending,yes
kha-n1906-000464,'khang,'khang,noun,word,{ahbrev. of tyrkhaug) fern.,31,0.975,1,no,pending,yes
kha-n1906-000468,'khangksiar,'khangksiar,noun,word,"the golden fern, 'khangnar, w, ?2. a kind of fern, a tree-fern.",31,0.975,1,no,pending,yes
kha-n1906-000503,'khapiah-khadai,'khapiah-khadai,noun,compound,"] Khapnap, cf. close-fisted, niggardly ; hard to part with one's money. \_Imit. khapnap-khapbit.] , i -",33,0.975,1,no,pending,yes
kha-n1906-000511,'khar-alot,'khar-alot,noun,compound,"merchant from the plains (on the Sylhet side) who buys wholesale goods from the hill- men, especially potatoes.",33,0.975,1,no,pending,yes
kha-n1906-000509,'kharang,'kharang,noun,word,a roasted fish.,33,0.975,1,no,pending,yes
kha-n1906-000512,'kharkaw,'kharkaw,noun,word,"a villager of the plains, {lit. one who lives in a Gaon). \_Imit. kharkaw-kharkor.] Kharkhar, ad, harshly (onomatopoetic), [as, ""u kren q\\ khar- kharr]",33,0.975,1,no,pending,yes
kha-n1906-000588,'khiew seiiiiong,'khiew seiiiiong,noun,phrase,a big black ant.,38,0.975,1,no,pending,yes
kha-n1906-000587,'khiew-saw,'khiew-saw,noun,compound,red ant.,38,0.975,1,no,pending,yes
kha-n1906-000937,'ksih,'ksih,noun,word,"an otter ; — w, one who goes through the water ordeal ; — i;.to squeeze on the throat, to throttle, to seize at the throat, Ksoh, V. to cling, to hold on.",58,0.975,1,no,pending,yes
kha-n1906-001048,'kyn-ib,'kyn-ib,verb,compound,to crow.,63,0.975,1,no,pending,yes
kha-n1906-001895,'la-bam-briew,'la-bam-briew,noun,compound,"a man-eater, Laban, ii. a Khasi name for Shillong. *Lak=100,000. [Imit. ka lak-ka putit.]",121,0.975,1,no,pending,yes
kha-n1906-001959,'la-tyrdop,'la-tyrdop,noun,compound,(Bot.) cinnamomum candatuni.,125,0.975,1,no,pending,yes
kha-n1906-001597,'lad-r-liar laid-pawang 'iad-hiar,'lad-r-liar laid-pawang 'iad-hiar,noun,phrase,undistillecl liquor which gathers in a pail placed underneath a basket to receive it ; wort.,95,0.975,1,no,pending,yes
kha-n1906-001897,'lakait,'lakait,noun,word,the plantain leaf.,122,0.975,1,no,pending,yes
kha-n1906-001924,'laliar,'laliar,verb,word,a tender top leaf used in sacrifices. \_Imit. ka 'laliar ka 'lalong.] § Assamese. 110,123,0.975,1,no,pending,yes
kha-n1906-001928,'lamet,'lamet,noun,word,a kind of leaf much used in packing things.,123,0.975,1,no,pending,yes
kha-n1906-001904,'langbrot,'langbrot,noun,word,"a sheep. Langbyrku, "") ^ ^^ ^ .^^^^ ^^^^^ pigeon. Langbyrkaw, ) ' ^ ^ ''",122,0.975,1,no,pending,yes
kha-n1906-001905,'langkushi,'langkushi,noun,word,"a big kind of goat. *lang-lung, m, n. tender or newly-grown grass.",122,0.975,1,no,pending,yes
kha-n1906-001906,'langniuh,'langniuh,noun,word,"bearded grass. 'langsah, u. n. grass which has not been set fire to for a long time.",122,0.975,1,no,pending,yes
kha-n1906-001907,'langsohmoh,'langsohmoh,noun,word,a full-grown he-goat.,122,0.975,1,no,pending,yes
kha-n1906-001908,'langthohkhlieh,'langthohkhlieh,noun,word,"a human victim to be offered to "" u",122,0.975,1,no,pending,yes
kha-n1906-001940,'lap-bah,'lap-bah,noun,compound,a heavy rain. \_Imit.,124,0.975,1,no,pending,yes
kha-n1906-001942,'lap-bnivip-bniup,'lap-bnivip-bniup,noun,compound,a drizzle.,124,0.975,1,no,pending,yes
kha-n1906-001943,'lap-kyrtiah,'lap-kyrtiah,noun,compound,"rain and storm. Lape, V. to daub, plaster. Lap^r(soh), n, n. the fruit of a certain small dwarf palm. 'lapeh(sei-), ad. with plenty of leaves but without grain or fruit.",124,0.975,1,no,pending,yes
kha-n1906-001960,'latyrpad,'latyrpad,noun,word,"a bay leaf. Law, V. to take off, to extract, to undo, 'law, Tea, 11. {ahbrev. of khMw), jungle,",125,0.975,1,no,pending,yes
kha-n1906-001961,'law-bah,'law-bah,noun,compound,"a big jungle, a dense forest. [Imit. Idwbah* lawsan.] 'lawkyntanL^ ka, n. a sacred grove.",125,0.975,1,no,pending,yes
kha-n1906-002008,'lei,'lei,noun,word,"iabbrev. of blei), a god. Lei-lei, {phr.), 1. So much (the better) [as, "" ba'n da phi lah lei-lei ba'n iaid shi sngi, kata la bit eh""]; 2. at any rate, any how (when preceded by da) [as, "" da lei-lei nga'n ym haram ia phi ""]; 3. without any cause (when preceded by khlem) [as, "" u la dumok ia nga khlem lei-lez.""]",128,0.975,1,no,pending,yes
kha-n1906-002024,'lei-umtong,'lei-umtong,noun,compound,"tbe goddess who looks after drinking water. Lem, «^. together, along with, (as, leit-lem) ; — v. (in spinning tops) to be out of the circle. Len, V. to deny. *len, u, n. {abb rev. of u thlen), a big snake ; [as, V^w-lum, V^??pula.]",129,0.975,1,no,pending,yes
kha-n1906-002009,'leikhuri,'leikhuri,noun,word,the household god of a certain clan of the Khasis.,129,0.975,1,no,pending,yes
kha-n1906-002010,'leikhyrdop-'leikharai,'leikhyrdop-'leikharai,noun,compound,"the goddess who is supposed to guard over the gate of or entrance into a village in time of war. Leilieh, ka^ n. lightning.",129,0.975,1,no,pending,yes
kha-n1906-002012,'leisad-'leisunon,'leisad-'leisunon,noun,compound,"the guardian goddess of a Siem, clan, {esp. in the time of war). Leit, V. to go, to proceed ; to fit.",129,0.975,1,no,pending,yes
kha-n1906-001986,'leng-iew,'leng-iew,noun,compound,"old egg or that which is sold in the hat ; bazar egg- *leng-ra, ka^ n. an",127,0.975,1,no,pending,yes
kha-n1906-001984,'lengkha,'lengkha,noun,word,fresh egg.,127,0.950,1,no,pending,yes
kha-n1906-001985,'lengkpoh,'lengkpoh,noun,word,"an egg placed over the navel of a dead person and which is broken on the funeral pyre,",127,0.975,1,no,pending,yes
kha-n1906-002026,'lenpula ii,'lenpula ii,noun,phrase,a big mountain snake ; a python.,130,0.975,1,no,pending,yes
kha-n1906-002044,'liangdieng,'liangdieng,noun,word,a wooden plate.,131,0.975,1,no,pending,yes
kha-n1906-002049,'liar-kait,'liar-kait,noun,compound,the topmost plantain leaf.,131,0.975,1,no,pending,yes
kha-n1906-002056,'liengjathang,'liengjathang,noun,word,a spotted eagle.,132,0.975,1,no,pending,yes
kha-n1906-002061,'liewlong,'liewlong,noun,word,"a natural pit, abyss. Ling-ling, «^. swiftly, agilely; [as, "" khie leit hynrei wat jah ia wan ling-ling ho.""] Lih ! {vulgarism) n. friend ! my friend ! [as, '* balei lili me jah?""]",132,0.975,1,no,pending,yes
kha-n1906-002101,'lur-shai,'lur-shai,noun,compound,the morning star.,135,0.975,1,no,pending,yes
kha-n1906-002177,'lymuifi,'lymuifi,adjective,word,without tail. (Same as hnuin).,140,0.975,1,no,pending,yes
kha-n1906-002224,'mainker,'mainker,noun,word,whiskers.,143,0.975,1,no,pending,yes
kha-n1906-002266,'mat-blang,'mat-blang,noun,compound,"eyes like that of a goat, 'matkylliang, ka. n. a child, a representative,",145,0.975,1,no,pending,yes
kha-n1906-002267,'mat-dong,'mat-dong,noun,compound,the corner of the eye.,145,0.975,1,no,pending,yes
kha-n1906-002268,'mat-iar,'mat-iar,noun,compound,"amaurosis, amblyopia ; dimness of sight at night. t Bengali. 130 MAT-IONG mAwPYRSUT 'mat-iong, ka^ n, the iris. Matla, ka, n, a diseased bamboo joint or knob from which there is no shoot. *mat-lieh, ka, n. the white of the eye.",145,0.975,1,no,pending,yes
kha-n1906-002296,'men-suh-syntiew,'men-suh-syntiew,noun,compound,"an old woman given to matchmaking, a pimp. Mer, V. to grow well ; to sprout.",147,0.975,1,no,pending,yes
kha-n1906-002307,'mied,'mied,verb,word,to raise up one's head.,148,0.975,1,no,pending,yes
kha-n1906-002390,'nai-iing,'nai-iing,noun,compound,a house-rat.,154,0.975,1,no,pending,yes
kha-n1906-002391,'nai-jylliew,'nai-jylliew,noun,compound,"June. 'nai-jymmang, «, n. May.",154,0.975,1,no,pending,yes
