record_id,headword_raw,headword_candidate,normalized,part_of_speech,historical_gloss_raw,source_line_start,source_page_approx,ocr_confidence,verification_status,notes
kha-n1906-002291,'fiiangblen,'fiiangblen,'fiiangblen,noun,"a blindworm. 'niangbliar, ka^ n. a kind of small lizard. 5JIANGB0IT 'f^IANGRAIT-WEI niangboit, ti, n. a wood- worm. niangbri, u, n. a wild pig, a boar. niangbshiah, lea, n. a cbamelion. niangbulot, u, n. a kind of fly. niangkalaw, ha, n. a cockroacb. niangkbap-kor, tt,, n. an earwig. niangkbar, n, n. cbicken-pox. niangkbnap, ka, n. a disease wbicb attacks the hoofs of cattle ; a foot-and-mouth disease. niang khriat, u. n. a small eruption on the body produced by cold. niang kongwieng, ka, n. a species of beetle which is very common in the lowlands, so called fio pa its cry. niangkseh, u, n. a long insect covered with thick fur generally found in pine trees, niangksem, ka, w. an insect which emits a fluid very injarious to human eyes, and having a very bad smell, niangkulia, u, n. syphilis, gonorrhoea, niangkwang, u, n. a wild boar that has separated himself from a herd, niangkynjah, ka, n. any insect which chirps at dead of night, niangkynthah-um, u^ n. a May-fly. niangkyntur-eit. ka, n. a lamelicorn beetle, fiiangdkhiat, m, n. the parasite causing itch, scabies, nianglartham, ka, n. a scorpion, nianglong, u, n, chrysalis, nianglyngkut, u, n. red leprosy, niangmat, ka, n. opthalmia. niang-miaw, ka, n. a tiger-beetle, fiiangmong, u, n. a discolouring of the face, niangphlang, u, n. an insect found everywhere among grass on the higher plateau of the Khasi Hills, and which is eaten by some of the people, niangpyrsit, u, n. measles, niangrah, ?/, 7i. a white-ant. See ''Kruin\ niangrait-hoh (shong), a. having a bad temper and envious spirit niangraitliang, u, n. a tape-worm. niangraitwait, w, n. wot'm generally found in stagnant water, niangrait-wei, w, n. a barren boar. U2 NIANGRIANG ^NIAT-TYNG-AM niangriang, ka, n. a water beetle. niangriej, u, n. a Wood- worm. niangser, u, n. 2^ very bad kind of sore caused by parasites. niangsliit, u, n. prickly-heat. niangsohpet, u^ n. an infantile disease which affects the nayel. niangsynrang, u, n. leprosy (black). liiangtari, ii, n. a small kind of millepede. niangteng, adj. indolent, lazy. niangthangdoh, ka, n. a firefly, a moth. niangthylliej, u, n. thrush. niangthylliew, u, n. small-pox. niangting, ad. long and thin, slim ; (as, u "" briew uba raikhoh ntangting''). niangtrew, ka, n, a very bad sore caused by itch. niangtyngkhap, ka, n. a tick. iiiangtyrkhang, 2i, n. a millepede. niangtyrsim, (sa-), kaba, n. whitlow. ]>Jiangwap, ad. very (weak) ; [as, "" u briew uba tlot niangwap u ia pyn-eh.""] Niah, V. to drive (cattle), to herd.",9697,157,0.325,pending,Automatically extracted from the complete 1906 public-domain OCR. Historical spelling/meaning/POS must be checked against the scan and modern Khasi usage. OCR/anomaly confidence below editorial threshold; inspect source image before lexical review.
kha-n1906-002290,'fiiangbading,'fiiangbading,'fiiangbading,noun,"a glowworm,",9696,157,0.575,pending,Automatically extracted from the complete 1906 public-domain OCR. Historical spelling/meaning/POS must be checked against the scan and modern Khasi usage. OCR/anomaly confidence below editorial threshold; inspect source image before lexical review.
kha-n1906-003766,CTyrsain,ctyrsain,ctyrsain,verb,"to have cramp or a creeping cold sensation (generally ""^of the feet) ; "" the feet have gone to sleep."" Tyr?aw, (iap-), ad. (to faint) out of hunger^ or thirst ; [as, ""wat leit jiugleit jngM khlem da song ja ioh iap fyrsdiv.''] [Imit, tyrsa w — ty rsian. ]",16225,265,0.575,pending,Automatically extracted from the complete 1906 public-domain OCR. Historical spelling/meaning/POS must be checked against the scan and modern Khasi usage. OCR/anomaly confidence below editorial threshold; inspect source image before lexical review.
kha-n1906-003821,Vai-solilaper,vai-solilaper,vai-solilaper,noun,the fniit of a small kind of palm.,16451,269,0.575,pending,Automatically extracted from the complete 1906 public-domain OCR. Historical spelling/meaning/POS must be checked against the scan and modern Khasi usage. OCR/anomaly confidence below editorial threshold; inspect source image before lexical review.
kha-n1906-003820,VWain,vwain,vwain,noun,"wine; — ad. easily (bent) ; (as, *' u prek u la dor iioam "" ); of a proper length (as, "" u ksai uba jrong wain ""). 245 'WAl-SOHLAPER —WAT",16442,269,0.575,pending,Automatically extracted from the complete 1906 public-domain OCR. Historical spelling/meaning/POS must be checked against the scan and modern Khasi usage. OCR/anomaly confidence below editorial threshold; inspect source image before lexical review.
kha-n1906-000512,Xhie-khynraw,xhie-khynraw,xhie-khynraw,verb,to reach the age of maturity.,2405,37,0.575,pending,Automatically extracted from the complete 1906 public-domain OCR. Historical spelling/meaning/POS must be checked against the scan and modern Khasi usage. OCR/anomaly confidence below editorial threshold; inspect source image before lexical review.
kha-n1906-000679,Xhyllew,xhyllew,xhyllew,adverb,"vainly, proudly (when praised) ; as, kren or leh kliyllei'o.",2936,46,0.575,pending,Automatically extracted from the complete 1906 public-domain OCR. Historical spelling/meaning/POS must be checked against the scan and modern Khasi usage. OCR/anomaly confidence below editorial threshold; inspect source image before lexical review.
kha-n1906-003780,XJm-biah,xjm-biah,xjm-biah,noun,"saliva, spittle.",16296,266,0.575,pending,Automatically extracted from the complete 1906 public-domain OCR. Historical spelling/meaning/POS must be checked against the scan and modern Khasi usage. OCR/anomaly confidence below editorial threshold; inspect source image before lexical review.
kha-n1906-003785,XJm-jung,xjm-jung,xjm-jung,noun,mine.,16311,266,0.575,pending,Automatically extracted from the complete 1906 public-domain OCR. Historical spelling/meaning/POS must be checked against the scan and modern Khasi usage. OCR/anomaly confidence below editorial threshold; inspect source image before lexical review.
kha-n1906-001058,Xynthih,xynthih,xynthih,verb,"to jump up (high), — ad. completely, fully, [as, "" san snem kynthih nga la shoi:ig ryngkat bad phi mynta.""]",4244,67,0.575,pending,Automatically extracted from the complete 1906 public-domain OCR. Historical spelling/meaning/POS must be checked against the scan and modern Khasi usage. OCR/anomaly confidence below editorial threshold; inspect source image before lexical review.
