candidate_id,headword,normalized,language,entry_type,part_of_speech,historical_gloss_en,source_id,source_year,source_url,secondary_crosscheck,secondary_url,verification_status,human_review_required,review_priority,notes
kha-v04-h1906-001,bakla,bakla,kha,word,verb,"to err; to make a mistake",nissor-1906-kha-en,1906,https://commons.wikimedia.org/wiki/File:Khasi-English_dictionary_(IA_khasienglishdict00singrich).pdf,,,pending,yes,2,"Historical gloss from public-domain dictionary; confirm modern Khasi spelling and sense."
kha-v04-h1906-002,bad,bad,kha,word,"conjunction; preposition","and; with",nissor-1906-kha-en,1906,https://commons.wikimedia.org/wiki/File:Khasi-English_dictionary_(IA_khasienglishdict00singrich).pdf,,,pending,yes,1,"High-frequency grammatical item; modern grammatical analysis required."
kha-v04-h1906-003,bang,bang,kha,word,"adjective; noun","tasty/savoury/palatable; also a bamboo carrying implement",nissor-1906-kha-en,1906,https://commons.wikimedia.org/wiki/File:Khasi-English_dictionary_(IA_khasienglishdict00singrich).pdf,,,pending,yes,2,"Polysemy requires separate senses; historical source records more than one sense."
kha-v04-h1906-004,bahkhala,bahkhala,kha,word,verb,"to be answerable for; to be responsible for",nissor-1906-kha-en,1906,https://commons.wikimedia.org/wiki/File:Khasi-English_dictionary_(IA_khasienglishdict00singrich).pdf,,,pending,yes,2,"Confirm current spelling, morphology and usage."
kha-v04-h1906-005,baibam,baibam,kha,word,noun,"allowance; diet expenses; stipend",nissor-1906-kha-en,1906,https://commons.wikimedia.org/wiki/File:Khasi-English_dictionary_(IA_khasienglishdict00singrich).pdf,,,pending,yes,2,"Historical lexical item; verify present-day senses and register."
kha-v04-h1906-006,baibat,baibat,kha,word,noun,"cash; ready money",nissor-1906-kha-en,1906,https://commons.wikimedia.org/wiki/File:Khasi-English_dictionary_(IA_khasienglishdict00singrich).pdf,,,pending,yes,2,"Historical lexical item; verify modern use."
kha-v04-h1906-007,baikhrong,baikhrong,kha,word,noun,"toll; tax",nissor-1906-kha-en,1906,https://commons.wikimedia.org/wiki/File:Khasi-English_dictionary_(IA_khasienglishdict00singrich).pdf,,,pending,yes,2,"Historical lexical item; verify modern institutional meaning."
kha-v04-h1906-008,bailut,bailut,kha,word,noun,"expenditure; cost",nissor-1906-kha-en,1906,https://commons.wikimedia.org/wiki/File:Khasi-English_dictionary_(IA_khasienglishdict00singrich).pdf,,,pending,yes,2,"Historical lexical item; verify spelling and current usage."
kha-v04-h1906-009,bainong,bainong,kha,word,noun,"wages; salary",nissor-1906-kha-en,1906,https://commons.wikimedia.org/wiki/File:Khasi-English_dictionary_(IA_khasienglishdict00singrich).pdf,,,pending,yes,1,"Useful economic-domain candidate; verify modern sense and examples."
kha-v04-h1906-010,baiong,baiong,kha,word,verb,"to be giddy; to suffer headache",nissor-1906-kha-en,1906,https://commons.wikimedia.org/wiki/File:Khasi-English_dictionary_(IA_khasienglishdict00singrich).pdf,,,pending,yes,3,"OCR/source spelling and semantic range need careful review."
kha-v04-h1906-011,baiseng,baiseng,kha,word,noun,"capital; money used for carrying on a business",nissor-1906-kha-en,1906,https://commons.wikimedia.org/wiki/File:Khasi-English_dictionary_(IA_khasienglishdict00singrich).pdf,,,pending,yes,1,"Economic-domain candidate; modern definition should be authored independently."
kha-v04-h1906-012,baisngi,baisngi,kha,word,noun,"daily wages",nissor-1906-kha-en,1906,https://commons.wikimedia.org/wiki/File:Khasi-English_dictionary_(IA_khasienglishdict00singrich).pdf,,,pending,yes,1,"Economic-domain candidate; verify modern use."
kha-v04-h1906-013,baiwai,baiwai,kha,word,noun,"rent",nissor-1906-kha-en,1906,https://commons.wikimedia.org/wiki/File:Khasi-English_dictionary_(IA_khasienglishdict00singrich).pdf,,,pending,yes,1,"Common practical-domain candidate; verify modern examples."
kha-v04-h1906-014,balei,balei,kha,word,adverb,"why; for what reason",nissor-1906-kha-en,1906,https://commons.wikimedia.org/wiki/File:Khasi-English_dictionary_(IA_khasienglishdict00singrich).pdf,"Glosbe also returns 'why' as a translation of balei",https://glosbe.com/kha/en/balei,pending,yes,1,"Historical and contemporary secondary evidence agree on the core interrogative use; human review still required."
kha-v04-h1906-015,bambriew,bambriew,kha,word,adjective,"cannibal; man-eating",nissor-1906-kha-en,1906,https://commons.wikimedia.org/wiki/File:Khasi-English_dictionary_(IA_khasienglishdict00singrich).pdf,,,pending,yes,3,"Potentially culturally sensitive/archaic lexical item; verify meaning and register."
kha-v04-h1906-016,bamkhuti,bamkhuti,kha,word,verb,"to take bribes",nissor-1906-kha-en,1906,https://commons.wikimedia.org/wiki/File:Khasi-English_dictionary_(IA_khasienglishdict00singrich).pdf,,,pending,yes,2,"Verify whether this remains current or historical."
kha-v04-h1906-017,bamkrang,bamkrang,kha,word,verb,"to undermine",nissor-1906-kha-en,1906,https://commons.wikimedia.org/wiki/File:Khasi-English_dictionary_(IA_khasienglishdict00singrich).pdf,,,pending,yes,2,"Sense and morphology require modern review."
kha-v04-h1906-018,bamjasngi,bamjasngi,kha,word,verb,"to take tiffin; to have a midday meal",nissor-1906-kha-en,1906,https://commons.wikimedia.org/wiki/File:Khasi-English_dictionary_(IA_khasienglishdict00singrich).pdf,,,pending,yes,2,"Historical English wording should not be copied into the final modern definition."
kha-v04-h1906-019,bamram,bamram,kha,word,verb,"to live in debt; to incur debt",nissor-1906-kha-en,1906,https://commons.wikimedia.org/wiki/File:Khasi-English_dictionary_(IA_khasienglishdict00singrich).pdf,,,pending,yes,2,"Economic-domain candidate; verify modern sense."
kha-v04-h1906-020,bamsap,bamsap,kha,word,verb,"to take bribes; to commit secret faults",nissor-1906-kha-en,1906,https://commons.wikimedia.org/wiki/File:Khasi-English_dictionary_(IA_khasienglishdict00singrich).pdf,,,pending,yes,2,"Multiple historical senses require separation and modern review."
kha-v04-h1906-021,banse,banse,kha,word,adjective,"obliged; having no other alternative",nissor-1906-kha-en,1906,https://commons.wikimedia.org/wiki/File:Khasi-English_dictionary_(IA_khasienglishdict00singrich).pdf,,,pending,yes,2,"Part-of-speech label is provisional; confirm modern grammar."
kha-v04-h1906-022,hima,hima,kha,word,noun,"state; kingdom",nissor-1906-kha-en,1906,https://commons.wikimedia.org/wiki/File:Khasi-English_dictionary_(IA_khasienglishdict00singrich).pdf,,,pending,yes,1,"Important political/cultural term; verify modern Khasi definition and historical nuance."
kha-v04-h1906-023,jem,jem,kha,word,adjective,"soft; easy",nissor-1906-kha-en,1906,https://commons.wikimedia.org/wiki/File:Khasi-English_dictionary_(IA_khasienglishdict00singrich).pdf,,,pending,yes,2,"Likely polysemous; split senses after review."
kha-v04-h1906-024,jngi,jngi,kha,word,verb,"to swim",nissor-1906-kha-en,1906,https://commons.wikimedia.org/wiki/File:Khasi-English_dictionary_(IA_khasienglishdict00singrich).pdf,"Glosbe also returns 'swim' for jngi",https://glosbe.com/kha/en/jngi,pending,yes,1,"Historical and contemporary secondary evidence agree; human definition/example still required."
kha-v04-h1906-025,jngoh,jngoh,kha,word,verb,"to look at; to peep in",nissor-1906-kha-en,1906,https://commons.wikimedia.org/wiki/File:Khasi-English_dictionary_(IA_khasienglishdict00singrich).pdf,"Glosbe has the phrase 'jingwan jngoh' for 'visit'",https://glosbe.com/en/kha/visit,pending,yes,2,"Potential derivational/phrase evidence; do not infer full modern sense without review."
kha-v04-h1906-026,jhur,jhur,kha,word,noun,"herb; vegetable",nissor-1906-kha-en,1906,https://commons.wikimedia.org/wiki/File:Khasi-English_dictionary_(IA_khasienglishdict00singrich).pdf,,,pending,yes,2,"Verify modern semantic range and noun class usage."
kha-v04-h1906-027,jia,jia,kha,word,verb,"to happen; to come up",nissor-1906-kha-en,1906,https://commons.wikimedia.org/wiki/File:Khasi-English_dictionary_(IA_khasienglishdict00singrich).pdf,,,pending,yes,1,"Common verb candidate; verify sense distinctions and examples."
kha-v04-h1906-028,jiar,jiar,kha,word,verb,"to drain off; to filter",nissor-1906-kha-en,1906,https://commons.wikimedia.org/wiki/File:Khasi-English_dictionary_(IA_khasienglishdict00singrich).pdf,,,pending,yes,2,"Verify present-day spelling and usage."
kha-v04-h1906-029,lano,lano,kha,word,adverb,"when?",nissor-1906-kha-en,1906,https://commons.wikimedia.org/wiki/File:Khasi-English_dictionary_(IA_khasienglishdict00singrich).pdf,"Glosbe lists lano among Khasi translations of 'when'",https://glosbe.com/en/kha/when,pending,yes,1,"Core interrogative candidate; grammatical classification needs human review."
kha-v04-h1906-030,lano-lano,lano-lano,kha,reduplication,adverb,"in future; hereafter; ever",nissor-1906-kha-en,1906,https://commons.wikimedia.org/wiki/File:Khasi-English_dictionary_(IA_khasienglishdict00singrich).pdf,,,pending,yes,1,"Historically attested reduplicative/time expression; compare modern spelling convention (hyphen vs space) before canonicalization."
