candidate_id,headword,source_part_of_speech,canonical_spelling,part_of_speech_decision,definition_kha,definition_en,example_kha,example_en,dialect,register,variant_of,sense_notes,reviewer,review_date,decision,comments
kha-v04-p001-001,'ñiuhtmoh,noun,,,,,,,,,,,,,pending,
kha-v04-p001-002,balang,noun,,,,,,,,,,,,,pending,
kha-v04-p001-003,bamkhana,noun,,,,,,,,,,,,,pending,
kha-v04-p001-004,barobakhor,noun,,,,,,,,,,,,,pending,
kha-v04-p001-005,blei,noun,,,,,,,,,,,,,pending,
kha-v04-p001-006,bnai,noun,,,,,,,,,,,,,pending,
kha-v04-p001-007,bniat,noun,,,,,,,,,,,,,pending,
kha-v04-p001-008,briew,noun,,,,,,,,,,,,,pending,
kha-v04-p001-009,briw,noun,,,,,,,,,,,,,pending,
kha-v04-p001-010,burom,noun,,,,,,,,,,,,,pending,
kha-v04-p001-011,bynriew,noun,,,,,,,,,,,,,pending,
kha-v04-p001-012,bynta,noun,,,,,,,,,,,,,pending,
kha-v04-p001-013,dieng,noun,,,,,,,,,,,,,pending,
kha-v04-p001-014,ding,noun,,,,,,,,,,,,,pending,
kha-v04-p001-015,dkhan,noun,,,,,,,,,,,,,pending,
kha-v04-p001-016,doh,noun,,,,,,,,,,,,,pending,
kha-v04-p001-017,dohkha,noun,,,,,,,,,,,,,pending,
kha-v04-p001-018,masi,noun,,,,,,,,,,,,,pending,
kha-v04-p001-019,maw,noun,,,,,,,,,,,,,pending,
kha-v04-p001-020,mrad,noun,,,,,,,,,,,,,pending,
kha-v04-p001-021,musla,noun,,,,,,,,,,,,,pending,
kha-v04-p001-022,niam,noun,,,,,,,,,,,,,pending,
kha-v04-p001-023,pdeng,noun,,,,,,,,,,,,,pending,
kha-v04-p001-024,phira,noun,,,,,,,,,,,,,pending,
kha-v04-p001-025,phlang,noun,,,,,,,,,,,,,pending,
kha-v04-p001-026,phria,noun,,,,,,,,,,,,,pending,
kha-v04-p001-027,pylleng,noun,,,,,,,,,,,,,pending,
kha-v04-p001-028,pyrsut,noun,,,,,,,,,,,,,pending,
kha-v04-p001-029,pyrthat,noun,,,,,,,,,,,,,pending,
kha-v04-p001-030,pyrthei,noun,,,,,,,,,,,,,pending,
kha-v04-p001-031,reng,noun,,,,,,,,,,,,,pending,
kha-v04-p001-032,rnga,noun,,,,,,,,,,,,,pending,
kha-v04-p001-033,sharing,noun,,,,,,,,,,,,,pending,
kha-v04-p001-034,shkor,noun,,,,,,,,,,,,,pending,
kha-v04-p001-035,shnong,noun,,,,,,,,,,,,,pending,
kha-v04-p001-036,shñiuh,noun,,,,,,,,,,,,,pending,
