candidate_id,headword,normalized,language,part_of_speech,source_id,source_category,source_url,license,attestation_status,wiktionary_ipa_attested,wiktionary_usage_example_attested,compound_attested,multiword_attested,existing_master,verification_status,human_review_required,review_priority,notes
kha-v04-p001-001,'ñiuhtmoh,'ñiuhtmoh,kha,noun,enwiktionary-kha,Category:Khasi_nouns,https://en.wiktionary.org/wiki/Category:Khasi_nouns,CC-BY-SA-4.0,source_attested,no,no,yes,no,no,pending,yes,3,"POS/category attested in English Wiktionary; meaning, canonical spelling, grammar and examples require Khasi human review."
kha-v04-p001-002,balang,balang,kha,noun,enwiktionary-kha,Category:Khasi_nouns,https://en.wiktionary.org/wiki/Category:Khasi_nouns,CC-BY-SA-4.0,source_attested,no,yes,no,no,no,pending,yes,1,"POS/category attested in English Wiktionary; meaning, canonical spelling, grammar and examples require Khasi human review."
kha-v04-p001-003,bamkhana,bamkhana,kha,noun,enwiktionary-kha,Category:Khasi_nouns,https://en.wiktionary.org/wiki/Category:Khasi_nouns,CC-BY-SA-4.0,source_attested,no,no,yes,no,no,pending,yes,3,"POS/category attested in English Wiktionary; meaning, canonical spelling, grammar and examples require Khasi human review."
kha-v04-p001-004,barobakhor,barobakhor,kha,noun,enwiktionary-kha,Category:Khasi_nouns,https://en.wiktionary.org/wiki/Category:Khasi_nouns,CC-BY-SA-4.0,source_attested,no,no,no,no,no,pending,yes,3,"POS/category attested in English Wiktionary; meaning, canonical spelling, grammar and examples require Khasi human review."
kha-v04-p001-005,blei,blei,kha,noun,enwiktionary-kha,Category:Khasi_nouns,https://en.wiktionary.org/wiki/Category:Khasi_nouns,CC-BY-SA-4.0,source_attested,yes,no,no,no,no,pending,yes,2,"POS/category attested in English Wiktionary; meaning, canonical spelling, grammar and examples require Khasi human review."
kha-v04-p001-006,bnai,bnai,kha,noun,enwiktionary-kha,Category:Khasi_nouns,https://en.wiktionary.org/wiki/Category:Khasi_nouns,CC-BY-SA-4.0,source_attested,yes,no,no,no,no,pending,yes,2,"POS/category attested in English Wiktionary; meaning, canonical spelling, grammar and examples require Khasi human review."
kha-v04-p001-007,bniat,bniat,kha,noun,enwiktionary-kha,Category:Khasi_nouns,https://en.wiktionary.org/wiki/Category:Khasi_nouns,CC-BY-SA-4.0,source_attested,yes,no,no,no,no,pending,yes,2,"POS/category attested in English Wiktionary; meaning, canonical spelling, grammar and examples require Khasi human review."
kha-v04-p001-008,briew,briew,kha,noun,enwiktionary-kha,Category:Khasi_nouns,https://en.wiktionary.org/wiki/Category:Khasi_nouns,CC-BY-SA-4.0,source_attested,yes,yes,no,no,no,pending,yes,1,"POS/category attested in English Wiktionary; meaning, canonical spelling, grammar and examples require Khasi human review."
kha-v04-p001-009,briw,briw,kha,noun,enwiktionary-kha,Category:Khasi_nouns,https://en.wiktionary.org/wiki/Category:Khasi_nouns,CC-BY-SA-4.0,source_attested,no,yes,no,no,no,pending,yes,1,"POS/category attested in English Wiktionary; meaning, canonical spelling, grammar and examples require Khasi human review."
kha-v04-p001-010,burom,burom,kha,noun,enwiktionary-kha,Category:Khasi_nouns,https://en.wiktionary.org/wiki/Category:Khasi_nouns,CC-BY-SA-4.0,source_attested,yes,no,no,no,no,pending,yes,2,"POS/category attested in English Wiktionary; meaning, canonical spelling, grammar and examples require Khasi human review."
kha-v04-p001-011,bynriew,bynriew,kha,noun,enwiktionary-kha,Category:Khasi_nouns,https://en.wiktionary.org/wiki/Category:Khasi_nouns,CC-BY-SA-4.0,source_attested,yes,no,no,no,no,pending,yes,2,"POS/category attested in English Wiktionary; meaning, canonical spelling, grammar and examples require Khasi human review."
kha-v04-p001-012,bynta,bynta,kha,noun,enwiktionary-kha,Category:Khasi_nouns,https://en.wiktionary.org/wiki/Category:Khasi_nouns,CC-BY-SA-4.0,source_attested,yes,yes,no,no,no,pending,yes,1,"POS/category attested in English Wiktionary; meaning, canonical spelling, grammar and examples require Khasi human review."
kha-v04-p001-013,dieng,dieng,kha,noun,enwiktionary-kha,Category:Khasi_nouns,https://en.wiktionary.org/wiki/Category:Khasi_nouns,CC-BY-SA-4.0,source_attested,yes,no,no,no,no,pending,yes,2,"POS/category attested in English Wiktionary; meaning, canonical spelling, grammar and examples require Khasi human review."
kha-v04-p001-014,ding,ding,kha,noun,enwiktionary-kha,Category:Khasi_nouns,https://en.wiktionary.org/wiki/Category:Khasi_nouns,CC-BY-SA-4.0,source_attested,yes,no,no,no,no,pending,yes,2,"POS/category attested in English Wiktionary; meaning, canonical spelling, grammar and examples require Khasi human review."
kha-v04-p001-015,dkhan,dkhan,kha,noun,enwiktionary-kha,Category:Khasi_nouns,https://en.wiktionary.org/wiki/Category:Khasi_nouns,CC-BY-SA-4.0,source_attested,yes,no,no,no,no,pending,yes,2,"POS/category attested in English Wiktionary; meaning, canonical spelling, grammar and examples require Khasi human review."
kha-v04-p001-016,doh,doh,kha,noun,enwiktionary-kha,Category:Khasi_nouns,https://en.wiktionary.org/wiki/Category:Khasi_nouns,CC-BY-SA-4.0,source_attested,no,no,no,no,no,pending,yes,3,"POS/category attested in English Wiktionary; meaning, canonical spelling, grammar and examples require Khasi human review."
kha-v04-p001-017,dohkha,dohkha,kha,noun,enwiktionary-kha,Category:Khasi_nouns,https://en.wiktionary.org/wiki/Category:Khasi_nouns,CC-BY-SA-4.0,source_attested,no,no,no,no,no,pending,yes,3,"POS/category attested in English Wiktionary; meaning, canonical spelling, grammar and examples require Khasi human review."
kha-v04-p001-018,masi,masi,kha,noun,enwiktionary-kha,Category:Khasi_nouns,https://en.wiktionary.org/wiki/Category:Khasi_nouns,CC-BY-SA-4.0,source_attested,no,no,yes,no,no,pending,yes,3,"POS/category attested in English Wiktionary; meaning, canonical spelling, grammar and examples require Khasi human review."
kha-v04-p001-019,maw,maw,kha,noun,enwiktionary-kha,Category:Khasi_nouns,https://en.wiktionary.org/wiki/Category:Khasi_nouns,CC-BY-SA-4.0,source_attested,yes,no,no,no,no,pending,yes,2,"POS/category attested in English Wiktionary; meaning, canonical spelling, grammar and examples require Khasi human review."
kha-v04-p001-020,mrad,mrad,kha,noun,enwiktionary-kha,Category:Khasi_nouns,https://en.wiktionary.org/wiki/Category:Khasi_nouns,CC-BY-SA-4.0,source_attested,yes,no,no,no,no,pending,yes,2,"POS/category attested in English Wiktionary; meaning, canonical spelling, grammar and examples require Khasi human review."
kha-v04-p001-021,musla,musla,kha,noun,enwiktionary-kha,Category:Khasi_nouns,https://en.wiktionary.org/wiki/Category:Khasi_nouns,CC-BY-SA-4.0,source_attested,no,no,no,no,no,pending,yes,3,"POS/category attested in English Wiktionary; meaning, canonical spelling, grammar and examples require Khasi human review."
